Key,Type,Desc,Chinese (PRC),English,Chinese (Traditional),Japanese
menus/save done,Text,,更换成功,Save Done,,
savepants/text0,Text,," Kio
【！？！？？！？？！】"," Kio
【!?!!????!?】",,
savepants/text1,Text,," Kio
【怎么这里有一条内裤！？】"," Kio
【Is there a pair of  underpants!?】",,
savepants/text2,Text,," Kio
【而且好像还蛮干净的。。。。。】"," Kio
【It seems to be quite  tidy ..........】",,
decroration/flower pot,Text,," Kio
【普通的盆栽。】"," Kio
【A flower pot.】",,
items/bullet,Text,,有一盒手枪子弹，是否拾取？,Pick the pistol ammo?,,
items/pick bullet,Text,,拾取了一盒子弹,Get pistol ammo,,
items/blink,Text,,有一把铁钥匙，是否拾取？,Pick the key?,,
items/pick blink,Text,,拾取了钥匙,Get the key,,
menus/nothing happened,Text,,没有反应,Nothing happened,,
menus/combine self,Text,,不能和自己合体,Can not combine with itself,,
menus/inventory is full,Text,,物品满了，不能拾取,Inventory is full,,
items/gear,Text,,有一个齿轮，是否拾取？,Pick the gear?,,
items/pick gear,Text,,拾取了齿轮,Get a gear,,
items/first aid,Text,,有一个急救包，是否拾取？,Pick the first-aid packet?,,
items/pick first aid,Text,,拾取了医疗包,Get a first-aid packet,,
items/key03,Text,,有一把钥匙，是否拾取？,Pick the key?,,
items/pick key03,Text,,拾取了钥匙,Get a key,,
items/ox tank,Text,,有一个氧气筒，是否拾取？,Pick the oxygen tank?,,
items/pick ox tank,Text,,拾取了氧气筒,Get an oxygen tank,,
items/Band-Aid,Text,,有一块创可贴，是否拾取？,Pick the band-aid?,,
items/pick band aid,Text,,拾取了一块创可贴,Get a band-aid,,
items/shot gun,Text,,有一支霰弹枪，是否拾取？,Pick the shotgun?,,
items/pick shotgun,Text,,拾取了霰弹枪,Get a shotgun,,
items/shotgun ammo,Text,,有一盒散弹枪子弹，是否拾取？,Pick the shotgun ammo?,,
items/pick shotgun ammo,Text,,拾取了一盒散弹枪子弹,Get the shotgun ammo,,
items/blue book,Text,,有一本蓝色的书，是否拾取？,Pick the book?,,
items/pick blue book,Text,,拾取了蓝色的书,Get a blue book,,
items/chip,Text,,有一包薯片，是否拾取？,Pick the bag of chips?,,
items/pick chips,Text,,拾取了一包佛山薯片,Get a bag of chips,,
items/spicy,Text,,有一包辣条，是否拾取？,Pick a bag of chili?,,
items/pick chili,Text,,拾取了一包法国辣条,Get a bag of chili,,
item hint/phone,Text,,最新款雪梨手机，双卡双待，信号超强。,Brand new pear phone! Strong at receving signal!,,
item use/phone0,Text,," Kio
【（嘟。。。。。。。嘟。。。。。。。。）】"," Kio
【（do.....do....）】",,
item use/phone1,Text,," Kio
【完全没有信号！！】"," Kio
【Can't receive any signal!!】",,
item hint/blue book,Text,,蓝色说明书。,Blue instruction,,
item hint/chili,Text,,法国辣条。,French chili,,
item use/chili0,Text,," Kio
【我就吃最后一包。。。】"," Kio
【This is the LAST BAG I eat...】",,
item use/chili1,Text,," Kio
【妈妈说吃太辣会拉肚子。。。。】"," Kio
【My mom said eating too much chili causes a stomachache.】",,
item hint/chip,Text,,佛山薯片。,Foshan chips,,
item use/chip0,Text,," Kio
【吧唧吧唧。。。】"," Kio
【Ba da ba da...】",,
item use/chip1,Text,," Kio
【配上可乐的话就完美了！！】"," Kio
【It's perfect if I drink some coke at the same time!!】",,
item hint/can,Text,,广州汽水。,Guangzhou soda,,
item use/can0,Text,," Kio
【这罐东西。。。】"," Kio
【This can of stuff..】",,
item use/can1,Text,," Kio
【实在是太好喝了！！！】"," Kio
【Really delicious!!】",,
item hint/ci ka,Text,,一块磁卡。,An ID card,,
item hint/curse map,Text,,被诅咒的地图。,A cursed map,,
item use/map0,Text,," Kio
【！！！！！！！！！！！！！！！！】"," Kio
【!!!!!!!!!!!!!!!!】",,
item use/map1,Text,," Kio
【吓死我了！！！！！！！！！！】"," Kio
【Scary!!!!】",,
item use/map2,Text,," Kio
【看来这个诅咒的地图不能盯太久。】"," Kio
【It seems that I can't keep looking at it too long..】",,
item hint/gear,Text,,一颗迷之小齿轮。,A mystical gear,,
item hint/girl's head,Text,,Illusion的头。,Illusion's head,,
item hint/girl's heart,Text,,一颗美少女的心脏。,A girl's heart,,
item hint/first aid pack,Text,,爱护自己，就要懂得医疗。一次能回复45HP。,"Love yourself, heal yourself by 45 HP",,
item hint/key2,Text,,一把神秘的钥匙。,A mystical key,,
item hint/keya3,Text,,一把铁钥匙。,An iron key,,
item hint/key b02,Text,,图书馆大门钥匙。,Key for library gate,,
item hint/key b03,Text,,一把钥匙。,A key,,
item hint/key blood,Text,,一把染血的钥匙。,A key with blood on,,
item hint/mask,Text,,一个防毒面具。,A gas mask,,
item hint/gas suit,Text,,防毒套装，附带氧气筒设计，是居家旅行必备良品。,"Gas suit, the necessary in a trip",,
item hint/gas suit[touch],Text,,,"Anti-gas suit, the necessary in a trip",,
item hint/ox tank,Text,,一个氧气筒。,An oxygen tank,,
item hint/paper a,Text,,只有半张的小纸片，上面貌似写了些什么。,Half of paper,,
item hint/paste,Text,,爱护自己，就要懂得医疗。一次能回复10HP。,"Love yourself, heal yourself by 10 HP",,
item hint/gun,Text,,伯莱塔92FS半自动手枪，结构简单，精确耐用。,"Beretta 92FS gun, easy to use",,
item hint/ammo,Text,,9×19mm鲁格弹，现在广泛被使用的手枪子弹。,Ammo for pistol,,
item hint/shit,Text,,支配者的祝福，带在身上你会变得比平时强力3倍！,Carrying this make you much stronger than before,,
item hint/shortgun,Text,,约翰·勃朗宁设计的经典杠杆式霰弹枪，近距离威力大。,A powerful shotgun,,
item hint/shotgun ammo,Text,,12号霰弹枪子弹，省着用哦。,Ammo for shotgun,,
item hint/shrink gun,Text,,全称钥匙缩小枪，能把钥匙缩小。,Gun for srhinking keys,,
item hint/stan,Text,,字很漂亮。,Lovely signature,,
a00/a0,Text,," Kio
【大家好，我是Kio ！】"," Kio
【Hello guys. I am Kio!】",,
a00/a1,Text,," Kio
【今年15岁，刚刚升上高中。】"," Kio
【I am 15 years old. And I will study in the high school this year.】",,
a00/a2,Text,," Kio
【我最喜欢吃的是抹茶雪糕。】"," Kio
【Green tea ice cream is my favorite snack.】",,
a00/a3,Text,," Kio
【最讨厌的是苦瓜。】"," Kio
【And I hate bitter cucumber.】",,
a00/a4,Text,," Kio
【因为很苦。】"," Kio
【Because it's bitter.】",,
a00/a5,Text,," Kio
【今天约了两个初中的好朋友出来吃饭。】"," Kio
【I am going to hang out with two friends.】",,
a00/a6,Text,," Kio
【因为我们都考上同一所高中了。】"," Kio
【It's good news that we will start our new lives in the same school.】",,
a00/a7,Text,," Kio
【真的很开心。】"," Kio
【A happy beginning.】",,
a00/a8,Text,," Kio
【不说了，我要出门了！】"," Kio
【Oh, it's time to move!】",,
a00/b0,Text,," Kio
【呼，外面好热啊。】"," Kio
【It's hot outside.】",,
a00/b2,Text,," Kio
【要不然热死了。】"," Kio
【Otherwise it burns me.】",,
a00/b1,Text,," Kio
【幸好麦当当里面有空调。】"," Kio
【Lukily there is an air conditioning in the Mcdondon.】",,
a00/c0,Text,," Kio
【不知道她们两个到了没有。】"," Kio
【Did they get here?】",,
a00/c1,Text,," 多明妮
【Kio！在这里！】"," Domini
【Kio! We are here!】",,
a00/c2,Text,," Kio
【啊，你们原来已经到了！】"," Kio
【You are already here!】",,
a00/c2[touch],Text,,," Kio
【Oh, here you are.】",,
a00/d0,Text,," 多明妮
【对啊，我们到了很久啦！】"," Domini
【Yes, we've got here for long.】",,
a00/d1,Text,," 多明妮
【等了你一个多小时了。】"," Domini
【About one hour ago.】",,
a00/d3,Text,," Illusion
【她开玩笑的，我们也是刚到而已。】"," Illusion
【She is joking. We just arrive.】",,
a00/d4,Text,," 多明妮
【你你你，干嘛揭穿我！】"," Domini
【You...expose me....】",,
a00/d2,Text,," 多明妮
【我们都准备要走了！】"," Domini
【We are about to leave!】",,
a00/d5,Text,," 多明妮
【开个玩笑嘛。】"," Domini
【Isn't it funny?】",,
a00/d6,Text,," Kio
【我才不信你两这么早到呢！】"," Kio
【I already know you were not telling the truth!】",,
a00/d7,Text,," Kio
【咦！？】"," Kio
【Eh!?】",,
a00/d8,Text,," Kio
【你们怎么都已经点餐了啊。】"," Kio
【You've already ordered your foods before I come here.】",,
a00/d9,Text,," Illusion
【因为。。。。。。】"," Illusion
【Well......】",,
a00/d10,Text,," Illusion
【因为有点饿了，不好意思。】"," Illusion
【We feel a bit hungry. Sorry.】",,
a00/d11,Text,," 多明妮
【Kio你快点去点餐吧。】"," Domini
【Kio, go ahead to order yours.】",,
a00/d12,Text,," Kio
【没事啦，我还不饿，待会再去点。】"," Kio
【No worries. I am OK, will make it later.】",,
a00/d13,Text,," Kio
【对了，多明妮，还有Illusion。想不到我们。。】"," Kio
【Well, I can't still  believe..】",,
a00/d14,Text,," Kio
【能考上同一所高中！】"," Kio
【We will go to the same high school!】",,
a00/d15,Text,," Kio
【真是太好了！！】"," Kio
【That's awesome!!】",,
a00/d16,Text,," 多明妮
【对啊！对啊！高中三年我们又能在一起了！】"," Domini
【Yes. We will study together in the next three years!】",,
a00/d17,Text,," Illusion
【是呢，能跟你们一起我也很开心。】"," Illusion
【Cool. It's great to be with you two.】",,
a00/d18,Text,," 多明妮
【嘿嘿嘿！Kio你知道吗！听说我们班有几个超级大帅哥！】"," Domini
【Hey hey, did you hear that there would be some handsome guys.】",,
a00/d19,Text,," Kio
【真的吗！？】"," Kio
【Really?】",,
a00/d20,Text,," 多明妮
【对啊！听说帅到像明星一样呢！！】"," Domini
【Certainly! Right in our class!!】",,
a00/d21,Text,," 多明妮
【所以开学之后，我看中的你们不要跟我抢哦！】"," Domini
【I look foward to date with all of them! Don't compete with me!】",,
a00/d22,Text,," Kio
【这么帅的话。。】"," Kio
【If I was a handsome boy..】",,
a00/d23,Text,," Kio
【一定不会看上你呢。】"," Kio
【I will date with other girl.】",,
a00/d24,Text,," 多明妮
【！！！！！】"," Domini
【Hey!!!!!】",,
a00/d25,Text,," 多明妮
【不看上我！难道看上你哦！】"," Domini
【Who is the other girl? Like you!?】",,
a00/d26,Text,," Illusion
【你们两个不要吵啦。】"," Illusion
【Stop it please.】",,
a00/d27,Text,," 多明妮
【Illusion难道你也要跟我抢！】"," Domini
【Illusion! Are you going to compete with us at dating!?】",,
a00/d28,Text,," Illusion
【不是啦，高中我还是打算认真学习的。】 "," Illusion
【No. I will focus on  studying at the new school.】",,
a00/d29,Text,," Kio
【整天学习好无聊哦。】"," Kio
【Too bored if I study too much.】",,
a00/d30,Text,," Kio
【不过也好，之后我的作业靠你了！】"," Kio
【Well, I can copy your homeworks again!】",,
a00/d31,Text,," 多明妮
【我的作业也靠你了！！】"," Domini
【Cool, me too!!】",,
a00/d32,Text,," Illusion
【你们不要这样。。。。。。】"," Illusion
【It can't be like this....】",,
a00/d33,Text,," Kio
【哈哈，我去点餐了，你们等等吧。】"," Kio
【Ha ha, I am going to order my food. Please wait.】",,
a00/e0,Text,," 服务员
【你好，欢迎光临。】"," Seller
【Greetings!】",,
a00/e1,Text,," 服务员
【请问需要点什么吗？】"," Seller
【How may I help you?】",,
a00/e2,Text,," Kio
【一个牛肉汉堡，一杯中可乐。】"," Kio
【A beef buger. A coke.】",,
a00/e3,Text,," Kio
【再来一份薯条吧。】"," Kio
【And a potato chips please.】",,
a00/e4,Text,," 服务员
【好的，请稍等。】"," Seller
【OK. Please wait.】",,
a00/e5,Text,," Kio
【！？！？！？】"," Kio
【!?!?!?】",,
a00/e6,Text,," 多明妮
【啊啊啊啊啊啊啊啊！！！】"," Domini
【Ahhhhhh!!!!】",,
a00/e7,Text,," Illusion
【地震了！！快逃出去外面啊！！】"," Illusion
【Earthquake!! Run!!】",,
a00/e8,Text,," Kio
【啊啊啊啊啊啊！】"," Kio
【Ahhhhhh!!!】",,
a01/a0,Text,," Kio
【。。。。。。】"," Kio
【..........】",,
a01/a1,Text,," Kio
【嗯。。。。。？】"," Kio
【Um..?】",,
a01/a3,Text,," Kio
【我昏迷了多久了。。。】"," Kio
【How long have I got unconscious....?】",,
a01/a4,Text,," Kio
【我在这里睡了多久了？】"," Kio
【How long...?】",,
a01/a2,Text,," Kio
【头好痛。。。。】"," Kio
【Horrible headache....】",,
a01/a5,Text,," Kio
【地震之后好像晕过去了。】"," Kio
【I remember that was an earthquake....】",,
a01/a6,Text,," Kio
【这里是什么地方？】"," Kio
【Where am I?】",,
a01/a7,Text,," Kio
【多明妮！！！！！】"," Kio
【Domini!!!】",,
a01/a8,Text,," Kio
【Illusion！！！！！！】"," Kio
【Illusion!!!!!】",,
a01/a9,Text,," Kio
【你们在哪？！？！】"," Kio
【Where are you?】",,
a01/a10,Text,," Kio
【用手机联络一下她们吧。】"," Kio
【Oh, I can use my cell phone!】",,
a01/a11,Text,," Kio
【。。。。。。】"," Kio
【........】",,
a01/a12,Text,," Kio
【完全没有信号。。。。】"," Kio
【Can not receive any signal....】",,
a01/a13,Text,," Kio
【不过这里怎么这么诡异？】"," Kio
【How weird is it!?】",,
a01/a14,Text,," Kio
【先离开这里再说吧。】"," Kio
【Anyhow, I have to get out of here at first.】",,
a01/a dial phone,Text,,尝试拨打了手机,Dial the cell phone,,
menus/door is lock,Text,,门是锁着的,Door is locked,,
a01/p0,Text,,画框下有个按钮，要按一下？,"Find a button, Press it?",,
a01/p2,Text,,一幅诡异的画,A weird paint,,
a01/p3,Text,,门开了的声音,Voice comes from door,,
a03/a0,Text,," Kio
【咦！？怎。。。。。。怎么门锁上了！？】"," Kio
【Um!? Who locked the door!?】",,
a03/a2,Text,," Kio
【似乎感觉从外边被锁上了！？】"," Kio
【It seems like be locked from another side!?】",,
a03/a3,Text,," Kio
【。。。。。。】"," Kio
【.......】",,
a03/a4,Text,," Kio
【到底怎么回事了。。。。。。】"," Kio
【What actually happened....】",,
a03/a5,Text,," Kio
【好像有什么东西启动的声音？】"," Kio
【It sounds like something is switch on?】",,
a03/wall,Text,," Kio
【啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！】"," Kio
【Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah!】",,
menus/to open door?,Text,,要使用钥匙开门吗？,Open the door with the key?,,
menus/door opened,Text,,门开了,Door is opened,,
a04/a0,Text,," Illusion
【Kio。。。】"," Illusion
【Kio....】",,
a04/a1,Text,," Kio
【啊！！你怎么了！！！】"," Kio
【Ah!! What happened to you!!?】",,
a04/a2,Text,," Illusion
【Kio你取走我的头吧，这样你才能出去。】"," Illusion
【Take my head. It can help you out of here.】",,
a04/a3,Text,," Kio
【什。。。什么意思！？】"," Kio
【What? What do you mean?】",,
a04/a4,Text,," Kio
【啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！】 "," Kio
【Ah ah ah ah ah ah ah!!!】",,
a04/a5,Text,," Kio
【不！！！！！！！！！！！！！】"," Kio
【No!!!!!!!!!】",,
a04/a6,Text,," Kio
【发生什么事情了！！！】"," Kio
【What's going on!!!!!!】",,
a04/a7,Text,," Kio
【我不信，我不信，这不是真的！】"," Kio
【It shouldn't be!! It shouldn't be real!!】",,
a04/a8,Text,," Kio
【刚刚明明还是好好的！！】"," Kio
【Everything is fine just a moment ago!!】",,
a04/a9,Text,," Kio
【。。。。。】"," Kio
【!!!!!】",,
a04/a10,Text,," Kio
【这一定是在做梦。。。】"," Kio
【It should be a nightmare...】",,
a04/a11,Text,," Kio
【我要怎样才能醒来呢。。。】"," Kio
【Wake me up... Please...】",,
a04/b0,Text,,Illusion的头，是否拾取？,Pick Illusion's head?,,
a04/b1,Text,," Kio
【好残忍！】"," Kio
【It's cruel!】",,
a04/b2,Text,," Kio
【这里到底是什么地方！？】"," Kio
【Where am I!?】",,
a04/b3,Text,,拾取了Illusion的头,Get Illusion's head,,
a05/a0,Text,," 少女
【把我的心脏取走吧。】"," Girl
【Take my heart.】",,
a05/a2,Text,," 少女
【对你有帮助的。】"," Girl
【It's helpful to you.】",,
a05/a3,Text,," Kio
【啊！？！？】"," Kio
【Ah!?】",,
a05/a4,Text,," Kio
【太。。。。】"," Kio
【It's....】",,
a05/a5,Text,," Kio
【太残忍了。。。。】"," Kio
【Horrible....】",,
a05/b0,Text,,少女的心脏，是否拾取？,Pick the girl's heart?,,
a05/b1,Text,,拾取了少女的心脏,Get a heart,,
a06/a0,Text,," Kio
【啊啊啊啊啊啊！！！】"," Kio
【Ahhhhh!!!】",,
a06/a2,Text,," Kio
【好。。。。。好恶心！！】"," Kio
【disgusting...!!】",,
a06/a3,Text,," Kio
【这里到底是什么地方啊。】"," Kio
【Where is it!?】",,
a06/a4,Text,," Kio
【为什么我会在这里！】"," Kio
【Why am I here!?】",,
a06/a5,Text,," Kio
【呜呜呜呜呜呜！！】 "," Kio
【Help me!】",,
a06/b0,Text,," Kio
【好可怕。】"," Kio
【I feel sick..】",,
a07/a0,Text,,是否按下开关？,Turn on the switcher?,,
a07/a1,Text,," Kio
【咦！？！？】 "," Kio
【Eh!?!?】",,
a07/a2,Text,," Kio
【毒气！？！？】"," Kio
【Gas!?】",,
a07/b0,Text,," Kio
【门被锁上了打不开！！】"," Kio
【It locks!!!】",,
a07/c0,Text,," Kio
【啊啊啊啊，快来人救我！】"," Kio
【Ahhh!! Somebody helps me!】",,
a07/c2,Text,," Kio
【好难受，我是不是要死了？！】"," Kio
【Terrible...I am going to die!!】",,
a07/c3,Text,," Kio
【咳咳咳，怎么办！怎么办！】"," Kio
【Ke ke ke... How can I do!! How!!】",,
a07/c4,Text,," Kio
【呜呜呜呜，好难受啊。。。】"," Kio
【Woooo.... I feel sick...】",,
a07/c5,Text,," Kio
【我。。。。。。。。】"," Kio
【I......】",,
a07/c6,Text,," Kio
【我不行了。。。。。】"," Kio
【I can't breath...】",,
a08/a,Text,,不要在这个房间随便走动。,DO NOT wander in this room,,
a11/a1,Text,," Kio
【啊，这是什么怪物？！】"," Kio
【Ah!? A monster!?】",,
a11/a2,Text,," Kio
【好巨型，好恶心。。。。。。】"," Kio
【Huge.. And ugly...】",,
a11/a3,Text,," Kio
【身体还一直在动。】"," Kio
【It's squirming.】",,
a11/a4,Text,," Kio
【啊！！！！！！！】"," Kio
【Ah!!!!】",,
a11/a5,Text,," Kio
【什么东西！！】"," Kio
【What's that!!?】",,
a11/a6,Text,," Kio
【不要过来啦！！】"," Kio
【Stop there!!】",,
a12/a0,Text,," Kio
【这里好多棺材。】"," Kio
【So many coffins...】",,
a12/a2,Text,," Kio
【总觉得里面的东西会突然爬出来。】"," Kio
【I feel like there are some zombies will get out of  them.】",,
a12/a3,Text,," Kio
【不行，不要往这个方面想。】"," Kio
【Calm down. Don't figure out like this.】",,
a12/a4,Text,," Kio
【没事的！不要吓自己。】"," Kio
【Well, take a deep breath. Move on.】",,
a12/b0,Text,," Kio
【里面好像有东西。。】"," Kio
【There is something inside..】",,
a12/b1,Text,,有一个奇怪的东西，是否拾取？,Pick the unknown stuff?,,
a12/b2,Text,,拾取了钥匙缩小枪,Get a shrink gun,,
a12/c0,Text,," Kio
【！！！！】"," Kio
【!!!!】",,
a12/c1,Text,," Kio
【什么东西！？】"," Kio
【What's this!?】",,
savepants/a01,Text,,地牢密室,A room,,
a13/a,Text,,这些血。。。。要摸一下？,Bloodstain... Touch it?,,
a13/a1,Text,," Kio
【好可疑的血迹。】"," Kio
【A suspicious bloodstain.】",,
items/kao,Text,," Kio
【手铐？？？】"," Kio
【handcuffs??】",,
savepants/a14,Text,,地牢东南,Dungeon,,
a15/a0,Text,,有一把金色钥匙，是否拾取？,Pick the key?,,
a15/a1,Text,,拾取了金色的钥匙,Get a key,,
a15/b0,Text,," Kio
【好......好大的钥匙!】"," Kio
【A big key!】",,
a15/b1,Text,," Kio
【好重，根本无法拿起。】"," Kio
【It's heavy. I can't carry it.】",,
menus/door auto lock,Text,," Kio
【这门怎么自动锁上了？】"," Kio
【Why is the door locked automatically..?】",,
a16/a0,Text,," Kio
【怎么感觉背后有股阴风。。。】"," Kio
【I feel something behind me...】",,
a16/a1,Text,," Kio
【是。。。鬼。。。】"," Kio
【It's a ghost!】",,
a16/a2,Text,," Kio
【鬼啊！！快跑！！】"," Kio
【Run!!】",,
savepants/a093,Text,,地牢杂物房,Storage,,
a093/a0,Text,,有一把手枪，是否拾取？,Pick the pistol?,,
a093/a1,Text,," Kio
【这里有一把手枪？！】"," Kio
【Is that a gun!?】",,
a093/a,Text,,拾取了手枪,Pick a pistol,,
a093/a2,Text,," Kio
【是谁留下来的？】"," Kio
【Who left this here?】",,
a093/a3,Text,," Kio
【有人吗？？】"," Kio
【Anybody here?】",,
a093/a4,Text,," Kio
【没有人我拿走了哦！】"," Kio
【If the owner is gone, I am going to take it!】",,
a093/a5,Text,," Kio
【我拿了哦！！】"," Kio
【I am going to!】",,
a093/a6,Text,," Kio
【\0.5。\0.5。\0.5。\0.5。\0.5。\0.5。\0.5】"," Kio
【\0.5.\0.5.\0.5.\0.5.\0.5.\0.5.\0.5】",,
a093/a7,Text,," Kio
【以防万一还是拿走吧。】"," Kio
【In any case, it's better to carry it.】",,
a093/a8,Text,," Kio
【虽然不太会用枪。】"," Kio
【Although I am not used to fire and shoot.】",,
a093/a9,Text,," Kio
【但是拿着会有安全感。】"," Kio
【I feel safe if I carry a gun.】",,
a093/a10,Text,," Kio
【遇到危险乱射一通也好。】"," Kio
【It's greatly useful when fighting against something.】",,
a093/a11,Text,," Kio
【不管了！我要拿走！】"," Kio
【I decide to take it. Thank you stranger.】",,
a093/b0,Text,,有一个急救包，是否拾取？,Pick the first-aid packet?,,
a093/b,Text,,拾取了医疗包,Get a first-aid packet,,
a093/b1,Text,," Kio
【这里有个医疗包。】"," Kio
【Oh I found a first-aid packet.】",,
a093/b2,Text,," Kio
【虽然感觉拿走别人的东西不好。】"," Kio
【I don't care who owns this.】",,
a093/b3,Text,," Kio
【但我现在不管了，我要拿走！】"," Kio
【It belongs to me now!】",,
ac01/gui0,Text,,是否打开抽屉？,Open the drawer?,,
ac01/gui,Text,," Kio
【一张诡异的照片。】"," Kio
【A weird picture.】",,
ac01/gui2,Text,," Kio
【不知道是谁的。】"," Kio
【Who is he in this photo?】",,
menus/no need enter,Text,," Kio
【没有再进去的必要了。】 "," Kio
【I feel like that I don't need to get in again.】 ",,
ac01/t0,Text,,只把肉留下来,Leave your body,,
ac01/t1,Text,,骨头与内脏都不要了,Discard bones and organs,,
ac01/t2,Text,," Kio
【这是什么鬼？】"," Kio
【What does it mean?】",,
ac01/t3,Text,," Kio
【只把肉留下来？】"," Kio
【Leave my body?】",,
ac01/tt0,Text,,不要让任何人从地牢逃走,Can't get out of the dungeon,,
ac01/tt1,Text,," Kio
【这里是地牢？】"," Kio
【Dungeon? Here?】",,
ac01/tt2,Text,," Kio
【我明明在麦当当啊。】"," Kio
【I am sure I was in Mcdondon a short moment ago.】",,
ac01/tt3,Text,," Kio
【不过这里的确很像地牢。】"," Kio
【However, It looks like dungeon here.】",,
ac01/ttt0,Text,,如果想死的话,Get in the door,,
ac01/ttt1,Text,,就进旁边的门吧,If you dare,,
ac01/ttt2,Text,," Kio
【什么恶作剧？】"," Kio
【Is that a trick?】",,
ac01/ttt3,Text,," Kio
【谁这么无聊写这些字条。】"," Kio
【Not funny!】",,
ac01/picture,Text,," Kio
【一张奇怪的油画。】"," Kio
【A scary picture.】",,
ac01/picture1,Text,," Kio
【头与心脏的位置似乎能放东西进去。】"," Kio
【it seems to be able to put things in at the head and heart position.】",,
ac01/gap,Text,," Kio
【裂痕，没什么特别的。】"," Kio
【A crack. Nothing is special.】",,
savepants/ac02,Text,,地牢长廊,Corridor,,
ac02/a0,Text,," Kio
【呼！呼！呼！呼！！】"," Kio
【Crazy! Crazy!】",,
ac02/a1,Text,," Kio
【吓死我了！！】"," Kio
【Scary!】",,
ac02/a2,Text,," Kio
【还以为自己刚刚要死了。】"," Kio
【I though I was going to die!】",,
ac02/t0,Text,,不允许有人从这里逃出去,No one can escape,,
ac02/t1,Text,,骨头与内脏都不要了,Discard bones and organs,,
ac02/tt0,Text,,所人有都要处死,Everyone have to die,,
ac02/tt1,Text,,不分男女,Males and females,,
ac02/tt2,Text,," Kio
【好可怕。】"," Kio
【Threaten...】",,
ac03/a0,Text,," Kio
【蟑螂。。。。。。】"," Kio
【Roaches...】",,
ac03/a2,Text,," Kio
【好多蟑螂！！！】"," Kio
【Too many roaches!!】",,
ac03/a3,Text,," Kio
【但是这是唯一一条路。】"," Kio
【But this is the only way to go.】",,
ac03/a4,Text,," Kio
【怎么办。。。。。。】"," Kio
【How....】",,
ac03/a5,Text,," Kio
【鼓起勇气一口气走过去吧。】"," Kio
【Deep breath, and go through it.】",,
ac03/b0,Text,," Kio
【不想看。】"," Kio
【Quickly move.】",,
ac04/a0,Text,," Kio
【好恶心。】"," Kio
【disgusting.】",,
