Key,Type,Desc,English,Chinese (PRC),Chinese (Traditional),Japanese
menus/inventory is full,Text,,Inventory is full,物品满了，不能拾取,,
items/gear,Text,,Pick up the gear?,有一个齿轮，是否拾取？,,
items/pick gear,Text,,Get a gear,拾取了齿轮,,
items/first aid,Text,,Pick the first-aid packet?,有一个急救包，是否拾取？,,
items/pick first aid,Text,,Get a first-aid packet,拾取了医疗包,,
items/key03,Text,,Pick up the key?,有一把钥匙，是否拾取？,,
items/pick key03,Text,,Get a key,拾取了钥匙,,
items/ox tank,Text,,Pick up the oxygen tank?,有一个氧气筒，是否拾取？,,
items/pick ox tank,Text,,Get an oxygen tank,拾取了氧气筒,,
items/Band-Aid,Text,,Pick up the band-aid?,有一块创可贴，是否拾取？,,
items/pick band aid,Text,,Get a band-aid,拾取了一块创可贴,,
items/shot gun,Text,,Pick up the shotgun?,有一支霰弹枪，是否拾取？,,
items/pick shotgun,Text,,Get a shotgun,拾取了霰弹枪,,
items/shotgun ammo,Text,,Pick the shotgun ammo?,有一盒散弹枪子弹，是否拾取？,,
items/pick shotgun ammo,Text,,Get the shotgun ammo,拾取了一盒散弹枪子弹,,
items/blue book,Text,,Pick up the book?,有一本蓝色的书，是否拾取？,,
items/pick blue book,Text,,Get a blue book,拾取了蓝色的书,,
items/chip,Text,,Pick up the bag of chips?,有一包薯片，是否拾取？,,
items/pick chips,Text,,Get a bag of chips,拾取了一包佛山薯片,,
items/spicy,Text,,Pick up the bag of chili?,有一包辣条，是否拾取？,,
items/pick chili,Text,,Get a bag of chili,拾取了一包法国辣条,,
item hint/phone,Text,,Brand new Pear phone! Great reception!,最新款雪梨手机，双卡双待，信号超强。,,
item use/phone0,Text,," Kio
【（do.....do....）】"," Kio
【（嘟。。。。。。。嘟。。。。。。。。）】",,
item use/phone1,Text,," Kio
【Can't receive any signal!!】"," Kio
【完全没有信号！！】",,
item hint/blue book,Text,,Blue instruction,蓝色说明书。,,
item hint/chili,Text,,French chili,法国辣条。,,
item use/chili0,Text,," Kio
【This is the LAST BAG I eat...】"," Kio
【我就吃最后一包。。。】",,
item use/chili1,Text,," Kio
【My mom said eating too much chili causes a stomachache.】"," Kio
【妈妈说吃太辣会拉肚子。。。。】",,
item hint/chip,Text,,Foshan chips,佛山薯片。,,
item use/chip0,Text,," Kio
【Ba da ba da...】"," Kio
【吧唧吧唧。。。】",,
item use/chip1,Text,," Kio
【It's perfect if I drink some coke at the same time!!】"," Kio
【配上可乐的话就完美了！！】",,
item hint/can,Text,,Guangzhou soda,广州汽水。,,
item use/can0,Text,," Kio
【This can of stuff..】"," Kio
【这罐东西。。。】",,
item use/can1,Text,," Kio
【Really delicious!!】"," Kio
【实在是太好喝了！！！】",,
item hint/ci ka,Text,,An ID card,一块磁卡。,,
item hint/curse map,Text,,A cursed map,被诅咒的地图。,,
item use/map0,Text,," Kio
【!!!!!!!!!!!!!!!!】"," Kio
【！！！！！！！！！！！！！！！！】",,
item use/map1,Text,," Kio
【Scary!!!!】"," Kio
【吓死我了！！！！！！！！！！】",,
item use/map2,Text,," Kio
【It seems that I can't keep looking at it too long..】"," Kio
【看来这个诅咒的地图不能盯太久。】",,
item hint/gear,Text,,A mysterious gear,一颗迷之小齿轮。,,
item hint/girl's head,Text,,Illusion's head,Illusion的头。,,
item hint/girl's heart,Text,,A girl's heart,一颗美少女的心脏。,,
item hint/first aid pack,Text,,"Love yourself, heal yourself by 45 HP",爱护自己，就要懂得医疗。一次能回复45HP。,,
item hint/key2,Text,,A mysterious key,一把神秘的钥匙。,,
item hint/keya3,Text,,An metal key,一把铁钥匙。,,
item hint/key b02,Text,,Key for library gate,图书馆大门钥匙。,,
item hint/key b03,Text,,A key,一把钥匙。,,
item hint/key blood,Text,,A key with blood on,一把染血的钥匙。,,
item hint/mask,Text,,A gas mask,一个防毒面具。,,
item hint/gas suit,Text,,"Anti-gas suit, the necessary in a trip",防毒套装，附带氧气筒设计，是居家旅行必备良品。,,
item hint/ox tank,Text,,An oxygen tank,一个氧气筒。,,
item hint/paper a,Text,,Half of paper,只有半张的小纸片，上面貌似写了些什么。,,
item hint/paste,Text,,"Love yourself, help yourself by 10 HP",爱护自己，就要懂得医疗。一次能回复10HP。,,
item hint/gun,Text,,"Beretta 92FS gun, easy to use",伯莱塔92FS半自动手枪，结构简单，精确耐用。,,
item hint/ammo,Text,,Ammo for pistol,9×19mm鲁格弹，现在广泛被使用的手枪子弹。,,
item hint/shit,Text,,Carrying this make you much stronger than before,支配者的祝福，带在身上你会变得比平时强力3倍！,,
item hint/shortgun,Text,,A powerful shotgun,约翰·勃朗宁设计的经典杠杆式霰弹枪，近距离威力大。,,
item hint/shotgun ammo,Text,,Ammo for shotgun,12号霰弹枪子弹，省着用哦。,,
item hint/shrink gun,Text,,Keys-shrinking gun,全称钥匙缩小枪，能把钥匙缩小。,,
item hint/stan,Text,,Lovely signature,字很漂亮。,,
a00/a0,Text,," Kio
【Hello guys. I am Kio!】"," Kio
【大家好，我是Kio ！】",,
a00/a1,Text,," Kio
【I am 15 years old. And I will study in the high school this year.】"," Kio
【今年15岁，刚刚升上高中。】",,
a00/a2,Text,," Kio
【Green tea ice cream is my favorite snack.】"," Kio
【我最喜欢吃的是抹茶雪糕。】",,
a00/a3,Text,," Kio
【And I hate bitter cucumber.】"," Kio
【最讨厌的是苦瓜。】",,
a00/a4,Text,," Kio
【Because it's bitter.】"," Kio
【因为很苦。】",,
a00/a5,Text,," Kio
【I am going to hang out with my two friends.】"," Kio
【今天约了两个初中的好朋友出来吃饭。】",,
a00/a6,Text,," Kio
【It's good news that we will start our new lives in the same school.】"," Kio
【因为我们都考上同一所高中了。】",,
a00/a7,Text,," Kio
【A happy beginning.】"," Kio
【真的很开心。】",,
a00/a8,Text,," Kio
【Oh, it's time to move!】"," Kio
【不说了，我要出门了！】",,
a00/b0,Text,," Kio
【It's hot outside.】"," Kio
【呼，外面好热啊。】",,
a00/b2,Text,," Kio
【Otherwise it burns me.】"," Kio
【要不然热死了。】",,
a00/b1,Text,," Kio
【Lukily there is air conditioned in the Mcdondon.】"," Kio
【幸好麦当当里面有空调。】",,
a00/c0,Text,," Kio
【Did they get here?】"," Kio
【不知道她们两个到了没有。】",,
a00/c1,Text,," Domini
【Kio! We are here!】"," 多明妮
【Kio！在这里！】",,
a00/c2,Text,," Kio
【Oh, here you are.】"," Kio
【啊，你们原来已经到了！】",,
a00/d0,Text,," Domini
【Yes, we've got here for long.】"," 多明妮
【对啊，我们到了很久啦！】",,
a00/d1,Text,," Domini
【About one hour ago.】"," 多明妮
【等了你一个多小时了。】",,
a00/d3,Text,," Illusion
【She is joking. We just arrive.】"," Illusion
【她开玩笑的，我们也是刚到而已。】",,
a00/d4,Text,," Domini
【You...expose me....】"," 多明妮
【你你你，干嘛揭穿我！】",,
a00/d2,Text,," Domini
【We are about to leave!】"," 多明妮
【我们都准备要走了！】",,
a00/d5,Text,," Domini
【Isn't it funny?】"," 多明妮
【开个玩笑嘛。】",,
a00/d6,Text,," Kio
【I already know you were not telling the truth!】"," Kio
【我才不信你两这么早到呢！】",,
a00/d7,Text,," Kio
【Eh!?】"," Kio
【咦！？】",,
a00/d8,Text,," Kio
【You've already ordered your foods before I come here.】"," Kio
【你们怎么都已经点餐了啊。】",,
a00/d9,Text,," Illusion
【Sorry for that......】"," Illusion
【因为。。。。。。】",,
a00/d10,Text,," Illusion
【We feel a bit hungry.】"," Illusion
【因为有点饿了，不好意思。】",,
a00/d11,Text,," Domini
【Kio, go ahead to order yours.】"," 多明妮
【Kio你快点去点餐吧。】",,
a00/d12,Text,," Kio
【No worries. I am OK, will make it later.】"," Kio
【没事啦，我还不饿，待会再去点。】",,
a00/d13,Text,," Kio
【Well, I can't still  believe..】"," Kio
【对了，多明妮，还有Illusion。想不到我们。。】",,
a00/d14,Text,," Kio
【We will study at the same high school!】"," Kio
【能考上同一所高中！】",,
a00/d15,Text,," Kio
【That's awesome!!】"," Kio
【真是太好了！！】",,
a00/d16,Text,," Domini
【Yes. We will start our school lives together in the next three years!】"," 多明妮
【对啊！对啊！高中三年我们又能在一起了！】",,
a00/d17,Text,," Illusion
【Cool. It's great to be with you two.】"," Illusion
【是呢，能跟你们一起我也很开心。】",,
a00/d18,Text,," Domini
【Hey hey, have you heard that there would be some handsome guys in our class?】"," 多明妮
【嘿嘿嘿！Kio你知道吗！听说我们班有几个超级大帅哥！】",,
a00/d19,Text,," Kio
【Really?】"," Kio
【真的吗！？】",,
a00/d20,Text,," Domini
【Certainly! They are like hot stars!】"," 多明妮
【对啊！听说帅到像明星一样呢！！】",,
a00/d21,Text,," Domini
【I look foward to date with all of them! Don't compete with me!】"," 多明妮
【所以开学之后，我看中的你们不要跟我抢哦！】",,
a00/d22,Text,," Kio
【If I was a handsome boy..】"," Kio
【这么帅的话。。】",,
a00/d23,Text,," Kio
【I will date with other girls.】"," Kio
【一定不会看上你呢。】",,
a00/d24,Text,," Domini
【Hey!!!!!】"," 多明妮
【！！！！！】",,
a00/d25,Text,," Domini
【Who are the other girls? Like you!?】"," 多明妮
【不看上我！难道看上你哦！】",,
a00/d26,Text,," Illusion
【Stop it please.】"," Illusion
【你们两个不要吵啦。】",,
a00/d27,Text,," Domini
【Illusion! Are you going to compete with us at dating!?】"," 多明妮
【Illusion难道你也要跟我抢！】",,
a00/d28,Text,," Illusion
【No. I will focus on  studying at the new school.】"," Illusion
【不是啦，高中我还是打算认真学习的。】 ",,
a00/d29,Text,," Kio
【Too bored if I study too much.】"," Kio
【整天学习好无聊哦。】",,
a00/d30,Text,," Kio
【Well, I can copy your homeworks again!】"," Kio
【不过也好，之后我的作业靠你了！】",,
a00/d31,Text,," Domini
【Cool, count on me!!】"," 多明妮
【我的作业也靠你了！！】",,
a00/d32,Text,," Illusion
【It can't be like this....】"," Illusion
【你们不要这样。。。。。。】",,
a00/d33,Text,," Kio
【Ha ha, I am going to order my food. Please wait.】"," Kio
【哈哈，我去点餐了，你们等等吧。】",,
a00/e0,Text,," Seller
【How are you!】"," 服务员
【你好，欢迎光临。】",,
a00/e1,Text,," Seller
【What can I do for you?】"," 服务员
【请问需要点什么吗？】",,
a00/e2,Text,," Kio
【Hello! A beef buger. A coke.】"," Kio
【一个牛肉汉堡，一杯中可乐。】",,
a00/e3,Text,," Kio
【And a potato chips please.】"," Kio
【再来一份薯条吧。】",,
a00/e4,Text,," Seller
【OK. Please wait.】"," 服务员
【好的，请稍等。】",,
a00/e5,Text,," Kio
【!?!?!?】"," Kio
【！？！？！？】",,
a00/e6,Text,," Domini
【Ahhhhhh!!!!】"," 多明妮
【啊啊啊啊啊啊啊啊！！！】",,
a00/e7,Text,," Illusion
【Earthquake!! Run!!】"," Illusion
【地震了！！快逃出去外面啊！！】",,
a00/e8,Text,," Kio
【Ahhhhhh!!!】"," Kio
【啊啊啊啊啊啊！】",,
a01/a0,Text,," Kio
【..........】"," Kio
【。。。。。。】",,
a01/a1,Text,," Kio
【Um..?】"," Kio
【嗯。。。。。？】",,
a01/a3,Text,," Kio
【How long have I got unconscious....?】"," Kio
【我昏迷了多久了。。。】",,
a01/a4,Text,," Kio
【How long...?】"," Kio
【我在这里睡了多久了？】",,
a01/a2,Text,," Kio
【Horrible headache....】"," Kio
【头好痛。。。。】",,
a01/a5,Text,," Kio
【I remember that was an earthquake....】"," Kio
【地震之后好像晕过去了。】",,
a01/a6,Text,," Kio
【Where am I?】"," Kio
【这里是什么地方？】",,
a01/a7,Text,," Kio
【Domini!!!】"," Kio
【多明妮！！！！！】",,
a01/a8,Text,," Kio
【Illusion!!!!!】"," Kio
【Illusion！！！！！！】",,
a01/a9,Text,," Kio
【Where are you?】"," Kio
【你们在哪？！？！】",,
a01/a10,Text,," Kio
【Oh, I can use my cell phone!】"," Kio
【用手机联络一下她们吧。】",,
a01/a11,Text,," Kio
【........】"," Kio
【。。。。。。】",,
a01/a12,Text,," Kio
【It can't receive any signal....】"," Kio
【完全没有信号。。。。】",,
a01/a13,Text,," Kio
【How weird is it!?】"," Kio
【不过这里怎么这么诡异？】",,
a01/a14,Text,," Kio
【Anyhow, I have to get out of here at first.】"," Kio
【先离开这里再说吧。】",,
a01/a dial phone,Text,,Dial the cell phone,尝试拨打了手机,,
menus/door is lock,Text,,Door is locked,门是锁着的,,
a01/p0,Text,,"Find a button, Press it?",画框下有个按钮，要按一下？,,
a01/p2,Text,,A weird painting,一幅诡异的画,,
a01/p3,Text,,Voice comes from door,门开了的声音,,
a03/a0,Text,," Kio
【Um!? Who locked the door!?】"," Kio
【咦！？怎。。。。。。怎么门锁上了！？】",,
a03/a2,Text,," Kio
【It seems like be locked from another side!?】"," Kio
【似乎感觉从外边被锁上了！？】",,
a03/a3,Text,," Kio
【.......】"," Kio
【。。。。。。】",,
a03/a4,Text,," Kio
【What actually happened....】"," Kio
【到底怎么回事了。。。。。。】",,
a03/a5,Text,," Kio
【It sounds like something is switch on?】"," Kio
【好像有什么东西启动的声音？】",,
a03/wall,Text,," Kio
【Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah Ah!】"," Kio
【啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！】",,
menus/to open door?,Text,,Try this key to open the door?,要使用钥匙开门吗？,,
menus/door opened,Text,,Door is opened,门开了,,
a04/a0,Text,," Illusion
【Kio....】"," Illusion
【Kio。。。】",,
a04/a1,Text,," Kio
【Ah!! What happened to you!!?】"," Kio
【啊！！你怎么了！！！】",,
a04/a2,Text,," Illusion
【Take my head. It can help you out of here.】"," Illusion
【Kio你取走我的头吧，这样你才能出去。】",,
a04/a3,Text,," Kio
【What? What do you mean?】"," Kio
【什。。。什么意思！？】",,
a04/a4,Text,," Kio
【Ah ah ah ah ah ah ah!!!】"," Kio
【啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！】 ",,
a04/a5,Text,," Kio
【No!!!!!!!!!】"," Kio
【不！！！！！！！！！！！！！】",,
a04/a6,Text,," Kio
【What's going on!!!!!!】"," Kio
【发生什么事情了！！！】",,
a04/a7,Text,," Kio
【It shouldn't be!! It shouldn't be real!!】"," Kio
【我不信，我不信，这不是真的！】",,
a04/a8,Text,," Kio
【Everything is fine just a moment ago!!】"," Kio
【刚刚明明还是好好的！！】",,
a04/a9,Text,," Kio
【!!!!!】"," Kio
【。。。。。】",,
a04/a10,Text,," Kio
【It should be a nightmare...】"," Kio
【这一定是在做梦。。。】",,
a04/a11,Text,," Kio
【Wake me up... Please...】"," Kio
【我要怎样才能醒来呢。。。】",,
a04/b0,Text,,Pick Illusion's head?,Illusion的头，是否拾取？,,
a04/b1,Text,," Kio
【It's cruel!】"," Kio
【好残忍！】",,
a04/b2,Text,," Kio
【Where am I!?】"," Kio
【这里到底是什么地方！？】",,
a04/b3,Text,,Get Illusion's head,拾取了Illusion的头,,
a05/a0,Text,," Girl
【Take my heart.】"," 少女
【把我的心脏取走吧。】",,
a05/a2,Text,," Girl
【It's helpful to you.】"," 少女
【对你有帮助的。】",,
a05/a3,Text,," Kio
【Ah!?】"," Kio
【啊！？！？】",,
a05/a4,Text,," Kio
【It's....】"," Kio
【太。。。。】",,
a05/a5,Text,," Kio
【Horrible....】"," Kio
【太残忍了。。。。】",,
a05/b0,Text,,Pick the girl's heart?,少女的心脏，是否拾取？,,
a05/b1,Text,,Get a heart,拾取了少女的心脏,,
a06/a0,Text,," Kio
【Ahhhhh!!!】"," Kio
【啊啊啊啊啊啊！！！】",,
a06/a2,Text,," Kio
【disgusting...!!】"," Kio
【好。。。。。好恶心！！】",,
a06/a3,Text,," Kio
【Where is it!?】"," Kio
【这里到底是什么地方啊。】",,
a06/a4,Text,," Kio
【Why am I here!?】"," Kio
【为什么我会在这里！】",,
a06/a5,Text,," Kio
【Help me!】"," Kio
【呜呜呜呜呜呜！！】 ",,
a06/b0,Text,," Kio
【I feel sick..】"," Kio
【好可怕。】",,
a07/a0,Text,,Turn the switcher on?,是否按下开关？,,
a07/a1,Text,," Kio
【Eh!?!?】"," Kio
【咦！？！？】 ",,
a07/a2,Text,," Kio
【Gas!?】"," Kio
【毒气！？！？】",,
a07/b0,Text,," Kio
【It locks!!!】"," Kio
【门被锁上了打不开！！】",,
a07/c0,Text,," Kio
【Ahhh!! Somebody helps me!】"," Kio
【啊啊啊啊，快来人救我！】",,
a07/c2,Text,," Kio
【Terrible...I am going to die!!】"," Kio
【好难受，我是不是要死了？！】",,
a07/c3,Text,," Kio
【Ke ke ke... How can I do!! How!!】"," Kio
【咳咳咳，怎么办！怎么办！】",,
a07/c4,Text,," Kio
【Woooo.... I feel sick...】"," Kio
【呜呜呜呜，好难受啊。。。】",,
a07/c5,Text,," Kio
【I......】"," Kio
【我。。。。。。。。】",,
a07/c6,Text,," Kio
【I can't breath...】"," Kio
【我不行了。。。。。】",,
a08/a,Text,,DO NOT wander in this room,不要在这个房间随便走动。,,
a11/a1,Text,," Kio
【Ah!? A monster!?】"," Kio
【啊，这是什么怪物？！】",,
a11/a2,Text,," Kio
【Huge.. And ugly...】"," Kio
【好巨型，好恶心。。。。。。】",,
a11/a3,Text,," Kio
【It's squirming.】"," Kio
【身体还一直在动。】",,
a11/a4,Text,," Kio
【Ah!!!!】"," Kio
【啊！！！！！！！】",,
a11/a5,Text,," Kio
【What's that!!?】"," Kio
【什么东西！！】",,
a11/a6,Text,," Kio
【Stop there!!】"," Kio
【不要过来啦！！】",,
a12/a0,Text,," Kio
【So many coffins...】"," Kio
【这里好多棺材。】",,
a12/a2,Text,," Kio
【I feel like there are some zombies will get out of  them.】"," Kio
【总觉得里面的东西会突然爬出来。】",,
a12/a3,Text,," Kio
【Calm down. Don't figure out like this.】"," Kio
【不行，不要往这个方面想。】",,
a12/a4,Text,," Kio
【Well, take a deep breath. Move on.】"," Kio
【没事的！不要吓自己。】",,
a12/b0,Text,," Kio
【There is something inside..】"," Kio
【里面好像有东西。。】",,
a12/b1,Text,,Pick up the unknown stuff?,有一个奇怪的东西，是否拾取？,,
a12/b2,Text,,Get a shrink gun,拾取了钥匙缩小枪,,
a12/c0,Text,," Kio
【!!!!】"," Kio
【！！！！】",,
a12/c1,Text,," Kio
【What's this!?】"," Kio
【什么东西！？】",,
savepants/a01,Text,,A room,地牢密室,,
a13/a,Text,,Bloodstain... Touch it?,这些血。。。。要摸一下？,,
a13/a1,Text,," Kio
【A suspicious bloodstain.】"," Kio
【好可疑的血迹。】",,
items/kao,Text,," Kio
【handcuffs??】"," Kio
【手铐？？？】",,
savepants/a14,Text,,Dungeon,地牢东南,,
a15/a0,Text,,Pick the key?,有一把金色钥匙，是否拾取？,,
a15/a1,Text,,Get a key,拾取了金色的钥匙,,
a15/b0,Text,," Kio
【A big key!】"," Kio
【好......好大的钥匙!】",,
a15/b1,Text,," Kio
【It's heavy. I can't carry it.】"," Kio
【好重，根本无法拿起。】",,
menus/door auto lock,Text,," Kio
【Why is the door locked automatically..?】"," Kio
【这门怎么自动锁上了？】",,
a16/a0,Text,," Kio
【I feel something behind me...】"," Kio
【怎么感觉背后有股阴风。。。】",,
a16/a1,Text,," Kio
【It's a ghost!】"," Kio
【是。。。鬼。。。】",,
a16/a2,Text,," Kio
【Run!!】"," Kio
【鬼啊！！快跑！！】",,
savepants/a093,Text,,Storage,地牢杂物房,,
a093/a0,Text,,Pick the pistol?,有一把手枪，是否拾取？,,
a093/a1,Text,," Kio
【Is that a gun!?】"," Kio
【这里有一把手枪？！】",,
a093/a,Text,,Pick a pistol,拾取了手枪,,
a093/a2,Text,," Kio
【Who left this here?】"," Kio
【是谁留下来的？】",,
a093/a3,Text,," Kio
【Anybody here?】"," Kio
【有人吗？？】",,
a093/a4,Text,," Kio
【If the owner is gone, I am going to take it!】"," Kio
【没有人我拿走了哦！】",,
a093/a5,Text,," Kio
【I am going to!】"," Kio
【我拿了哦！！】",,
a093/a6,Text,," Kio
【\0.5.\0.5.\0.5.\0.5.\0.5.\0.5.\0.5】"," Kio
【\0.5。\0.5。\0.5。\0.5。\0.5。\0.5。\0.5】",,
a093/a7,Text,," Kio
【In any case, I'd better to carry it.】"," Kio
【以防万一还是拿走吧。】",,
a093/a8,Text,," Kio
【Although I am not used to fire and shoot.】"," Kio
【虽然不太会用枪。】",,
a093/a9,Text,," Kio
【I feel safe if I carry a gun.】"," Kio
【但是拿着会有安全感。】",,
a093/a10,Text,," Kio
【It's greatly useful when fighting against something.】"," Kio
【遇到危险乱射一通也好。】",,
a093/a11,Text,," Kio
【I decide to take it. Thank you stranger.】"," Kio
【不管了！我要拿走！】",,
a093/b0,Text,,Pick the first-aid packet?,有一个急救包，是否拾取？,,
a093/b,Text,,Get a first-aid packet,拾取了医疗包,,
a093/b1,Text,," Kio
【Oh I found a first-aid packet.】"," Kio
【这里有个医疗包。】",,
a093/b2,Text,," Kio
【I don't care who owns this.】"," Kio
【虽然感觉拿走别人的东西不好。】",,
a093/b3,Text,," Kio
【It belongs to me now!】"," Kio
【但我现在不管了，我要拿走！】",,
ac01/gui0,Text,,Open the drawer?,是否打开抽屉？,,
ac01/gui,Text,," Kio
【A weird picture.】"," Kio
【一张诡异的照片。】",,
ac01/gui2,Text,," Kio
【Who is he in this photo?】"," Kio
【不知道是谁的。】",,
menus/no need enter,Text,," Kio
【I feel like that I don't need to get in again.】 "," Kio
【没有再进去的必要了。】 ",,
ac01/t0,Text,,Leave your body,只把肉留下来,,
ac01/t1,Text,,Discard bones and organs,骨头与内脏都不要了,,
ac01/t2,Text,," Kio
【What does it mean?】"," Kio
【这是什么鬼？】",,
ac01/t3,Text,," Kio
【Leave my body?】"," Kio
【只把肉留下来？】",,
ac01/tt0,Text,,Can't get out of the dungeon,不要让任何人从地牢逃走,,
ac01/tt1,Text,," Kio
【Dungeon? Here?】"," Kio
【这里是地牢？】",,
ac01/tt2,Text,," Kio
【I am sure I was in Mcdondon a short moment ago.】"," Kio
【我明明在麦当当啊。】",,
ac01/tt3,Text,," Kio
【However, It looks like dungeon here.】"," Kio
【不过这里的确很像地牢。】",,
ac01/ttt0,Text,,Get in the door,如果想死的话,,
ac01/ttt1,Text,,If you dare,就进旁边的门吧,,
ac01/ttt2,Text,," Kio
【Is that a trick?】"," Kio
【什么恶作剧？】",,
ac01/ttt3,Text,," Kio
【Not funny!】"," Kio
【谁这么无聊写这些字条。】",,
ac01/picture,Text,," Kio
【A scary picture.】"," Kio
【一张奇怪的油画。】",,
ac01/picture1,Text,," Kio
【it seems to be able to put things in at the head and heart position.】"," Kio
【头与心脏的位置似乎能放东西进去。】",,
ac01/gap,Text,," Kio
【A crack. Nothing is special.】"," Kio
【裂痕，没什么特别的。】",,
savepants/ac02,Text,,Corridor,地牢长廊,,
ac02/a0,Text,," Kio
【Crazy! Crazy!】"," Kio
【呼！呼！呼！呼！！】",,
ac02/a1,Text,," Kio
【Scary!】"," Kio
【吓死我了！！】",,
ac02/a2,Text,," Kio
【I though I was going to die!】"," Kio
【还以为自己刚刚要死了。】",,
ac02/t0,Text,,No one can escape,不允许有人从这里逃出去,,
ac02/t1,Text,,Discard bones and organs,骨头与内脏都不要了,,
ac02/tt0,Text,,Everyone have to die,所人有都要处死,,
ac02/tt1,Text,,No matter who,不分男女,,
ac02/tt2,Text,," Kio
【Threaten...】"," Kio
【好可怕。】",,
ac03/a0,Text,," Kio
【Roaches...】"," Kio
【蟑螂。。。。。。】",,
ac03/a2,Text,," Kio
【Too many roaches!!】"," Kio
【好多蟑螂！！！】",,
ac03/a3,Text,," Kio
【But this is the only way to go.】"," Kio
【但是这是唯一一条路。】",,
ac03/a4,Text,," Kio
【....】"," Kio
【怎么办。。。。。。】",,
ac03/a5,Text,," Kio
【Deep breath, and go through it.】"," Kio
【鼓起勇气一口气走过去吧。】",,
ac03/b0,Text,," Kio
【Quickly move.】"," Kio
【不想看。】",,
ac04/a0,Text,," Kio
【disgusting.】"," Kio
【好恶心。】",,
b02/good self,Text,," Kio
【There are books in the bookcase.】"," Kio
【书柜上放满了书。】",,
